make,mileage,year,condition,price 
2007 Chevrolet cobalt," 143,113Km
"," 2007
", Nigerian Used  ," 976,250                                        
                                    "
1998 Lexus Es 300," 1998
"," NG-578593
", Nigerian Used  ," 585,000                                        
                                    "
2010 Toyota Avensis," 242,859Km
"," 2010
", Nigerian Used  ," 1,965,000                                        
                                    "
1999 Peugeot 406," 185,478Km
"," 1999
", Nigerian Used  ," 642,500                                        
                                    "
2002 Lexus GS 430," 341,317Km
"," 2002
", Foreign Used  ," 1,390,000                                        
                                    "
2015 Nissan SENTRA," 62,937Km
"," 2015
", Foreign Used  ," 4,150,000                                        
                                    "
2004 Lexus Gx," 142,282Km
"," 2004
", Nigerian Used  ," 2,663,750                                        
                                    "
2005 Honda Accord," 263,233Km
"," 2005
", Foreign Used  ," 1,332,500                                        
                                    "
2007 Mercedes-Benz Ml350," 141,950Km
"," 2007
", Nigerian Used  ," 2,540,000                                        
                                    "
1998 Toyota Camry," 322,171Km
"," 1998
", Nigerian Used  ," 757,500                                        
                                    "
2005 Peugeot 407," 2005
"," NG-580921
", Nigerian Used  ," 1,505,000                                        
                                    "
2007 Mercedes-Benz Gl450," 88,556Km
"," 2007
", Nigerian Used  ," 3,395,000                                        
                                    "
2012 Acura Tl," 105,955Km
"," 2012
", Nigerian Used  ," 2,045,000                                        
                                    "
2007 Hyundai Elantra," 149,990Km
"," 2007
", Nigerian Used  ," 1,160,000                                        
                                    "
2006 Toyota Avalon," 179,437Km
"," 2006
", Foreign Used  ," 2,712,500                                        
                                    "
2007 Toyota Fj Cruiser," 86,895Km
"," 2007
", Nigerian Used  ," 5,760,000                                        
                                    "
1997 Dodge Caravan," 94,598Km
"," 1997
", Nigerian Used  ," 4,035,000                                        
                                    "
2014 Mercedes-Benz Ml350," 31,955Km
"," 2014
", Foreign Used  ," 13,520,000                                        
                                    "
